name,SubCategory,OS,Country,City,Support Group,Virtual,Shared
ITSUSRAPAT03,Windows,Win2003 Standard x64,UNITED STATES,RARITAN,WINDOWS L1,TRUE,FALSE
ITSUSRAPAT04,Windows,Win2003 Standard x64,UNITED STATES,RARITAN,WINDOWS L1,TRUE,FALSE
ITSUSRAPAT05,Windows,,UNITED STATES,RARITAN,WINDOWS L1,FALSE,FALSE
ITSUSRAPBR01,Linux,Linux,UNITED STATES,RARITAN,SECURITY EVENT & LOG MGT,FALSE,FALSE
ITSUSRAPBR02,Linux,Linux,UNITED STATES,RARITAN,SECURITY EVENT & LOG MGT,FALSE,FALSE
ITSUSRAPCCM1,Linux,SUSE Linux Enterprise Server (SLES) 10,UNITED STATES,RARITAN,LINUX L1,FALSE,FALSE
ITSUSRAPCDFS01,Windows,Win2003,UNITED STATES,RARITAN,WINDOWS L1,TRUE,FALSE
ITSUSRAPCO01,Linux,Linux,UNITED STATES,RARITAN,SECURITY EVENT & LOG MGT,FALSE,FALSE
ITSUSRAPCO02,Linux,Linux,,,SECURITY EVENT & LOG MGT,FALSE,FALSE
ITSUSRAPCTPC1,Windows,Win2003 Enterprise,UNITED STATES,RARITAN,WINDOWS L1,TRUE,FALSE
ITSUSRAPCTPC2,Windows,Win2003 Enterprise,UNITED STATES,RARITAN,WINDOWS L1,TRUE,FALSE
ITSUSRAPCTPD1,Windows,Win2003 Enterprise,UNITED STATES,RARITAN,WINDOWS L1,TRUE,FALSE
ITSUSRAPCTPF1,Windows,Win2003 Enterprise,UNITED STATES,RARITAN,WINDOWS L1,TRUE,FALSE
ITSUSRAPCTPG1,Windows,Win2003 Enterprise,UNITED STATES,RARITAN,WINDOWS L1,FALSE,FALSE
ITSUSRAPCTPG2,Windows,Win2003 Enterprise,UNITED STATES,RARITAN,WINDOWS L1,FALSE,FALSE
ITSUSRAPCTPG3,Windows,Win2003 Enterprise,UNITED STATES,RARITAN,WINDOWS L1,FALSE,FALSE
ITSUSRAPCTPG4,Windows,Win2003 Enterprise,UNITED STATES,RARITAN,WINDOWS L1,TRUE,FALSE
